UserScreenName,UserName,Timestamp,Text,Comments,Likes,Retweets,,,Row Labels,Count of Timestamp
Saket Jha,@mightyjhayoung,15-01-2021,"no one:

me after getting lost at D-mart:",1,,8,,,Jan,32
𝕯𝖗. 𝕬𝖆𝖙𝖒𝖆𝖓𝖎𝖗𝖇𝖍𝖆𝖗 𝕭𝖆𝖙𝖒𝖆𝖓,@Your_Levodopa,15-01-2021,"One notorious case of teenage pregnancy. It was quite a scandal. 

Another less serious case was the day before the school picnic an idiot from my std (not class) tried to shoplift at a D-Mart. They were immediately caught and in the chaos the guards beat them up.",1,,7,,,Feb,42
bank·a·ble,@mbuguanjihia,15-01-2021,"India's largest retailer is Reliance Retail. At a revenue of ₹1,30,566cr ($17.9B) & 10,900 stores. Second-largest retailer is TASMAC. At a revenue of ₹31,157cr ($4.3B) & 7000+ outlets, it comes a distant second but ahead of D-Mart which is at ₹24,930cr ($3.5B) #Simplanations",,2,3,,,Mar,51
wow someone actually,@lifeofshakes,15-01-2021,"What if D-Mart started an electronics store.?
A:  It would be called E-Mart",,,1,,,Apr,81
Prakash,@Prakash29968182,15-01-2021,"India's second-largest retailer is TASMAC. At a revenue of ₹31,157cr ($4.3B) and 7000+ outlets, it comes a distant second to Reliance Retail. And ahead of D-Mart which is at ₹24,930cr ($3.5B).
What's interesting though is it retails in only one state in India - Tamil Nadu.",1,1,,,,Grand Total,206
Nachiket Kale,@nachito_k,16-01-2021,the scenes if D-Mart shareholders start doing this in India ! ,,,3,,,,
Daga Infratech,@Dagainfratech,16-01-2021,"Set your business up for success. Our mixed use commercial plaza opposite D-Mart on Camp Road is just the ticket. #Amravati

Bookings filling fast. To know more, call 7798 822 778. #DagaPlazzo",1,,1,,,,
My Vadodara,@MyVadodara,17-01-2021,Car jumped on Divider near Makarpura D-mart. #vadodara #RoadSafety,,2,27,,,,
duke nukem of fantastech,@elttstoredotcom,17-01-2021,"Tech Tip:
Don't buy tech from D-Mart",1,,25,,,,
Water for voiceless,@water4voiceless,18-01-2021,"Due to this pandemic, we had a break, 2021 free water bowl distribution began with a blast at Nelamangala police station and at D-Mart by the founder to strive on the streets for more thirsty buddies. 
We will do our utmost this year.

#blgpolice #strayanimals #saveanimals",1,,1,,,,
"@$ai teja
(''P'' Group)",@$ai teja,18-01-2021,"Top 10 #Portfolio Stocks for Next 10yrs...

Expecting a 5-10Baggers....

Add on Dips/S.I.P
 Infosys
 Tata Elxsi
 D-Mart
 Nesco
 IRCTC
 Dixon Tech
 GMM Pfaudler
 MRF
 Amar Raja Batteries
 Maruti

""panem Group""",4,5,10,,,,
Enlightened Investor,@EnlightenedI07,19-01-2021,"Amul, Please list your company. 
 Few days back when i went D-Mart.. Seeing your products and sales same thought came in my mind.",,,1,,,,
City Headlines News,@cityheadlines17,19-01-2021,"D-Mart Ki Lift Mei Fanse Log, Fire Brigade Ka Rescue Operation

https://youtube.com/watch?v=heyLDPsOiWY&t=1s…
@MiraBhayanderKr
 @Mirabhytweets
 @MiraBhyUpdates
 @MiraRoadNews1",,2,2,,,,
Lil Paracetamol,@ShamsHanfe,20-01-2021,D-Mart please,,,3,,,,
Durwas Rane,@durwwas,20-01-2021,"Hey 
@MumbaiPolice
 Everyday traffic huge jam is caused near D-Mart Malad  As Rickshaw drivers are waiting there in search of customers. The road is already narrow due to ongoing Metro work and there is hardly any way to move ahead. 
@AslamShaikh_MLA
 @MumMetro",,,2,,,,
Karan Bhatt,@karanbhatt_,20-01-2021,"India's second-largest retailer is TASMAC. At a revenue of ₹31,157cr ($4.3B) and 7000+ outlets, it comes a distant second to Reliance Retail. And ahead of D-Mart which is at ₹24,930cr ($3.5B).

What's interesting though is it retails in only one state in India - Tamil Nadu.",2,,1,,,,
TSSPDCL,@TsspdclCorporat,20-01-2021,"Dear Consumers,
There is an interruption in supply to 11KV D-Mart feeder area from 33/11KV Lodha sub station. Tree trimming work is under progress, Supply will be restored by 2:00pm.",,,,,,,
"కడప కుర్రాడు
...!!",@kanthTarakian,26-01-2021,"D-Mart ki enduku potaru ra 
Nenitey valla kosam velta....
#KomaramBheemNTR",3,1,7,,,,
istanbulunsesi.net,@istaanbulunsesi,26-01-2021,Asya Şampiyonlar ligi ve AFC Cup kura çekimi özel programı Çarşamba sabah 9’dan itibaren canlı yayınla D-MART’ta,,,,,,,
HaberVer.me,@HaberVerme,26-01-2021,"Asya Şampiyonlar ligi ve AFC Cup kura çekimi özel programı Çarşamba sabah 9'dan itibaren canlı yayınla D-MART'ta Haberi
#asy...",,,,,,,
Sankalp Group Jaipur,@sankalp_builder,27-01-2021,"TheRise by Sankalp Group at HaldiGhati Gate, Main Tonk Road, Adjoining D-MART, Jaipur

http://sankalpbuilders.com",,,,,,,
