UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Retesh,@_Retesh_Singh,2021-04-10T08:33:37.000Z,"It's often said -

""Spend your life with someone who makes even going to the grocery store an adventure""

But it's so difficult to imagine D-Mart as a romantic getaway.

#thoughtoftheday  #India",,🙏 🤭 🤮 🥂 🥳 🎉 😎 💔 🤦 🎸 😬 🔥 🥺 🤯 📷 🙏,,,,[],https://twitter.com/_Retesh_Singh/status/1380801128900689921
SHO KHAMMAM 3 TOWN,@shokmm3town,2021-04-11T13:02:17.000Z,Conducted Covid Awareness Program at D-Mart Khammam...,,,,,5,['https://pbs.twimg.com/media/EyseY8sUcAkKIBV?format=jpg&name=small'],https://twitter.com/shokmm3town/status/1381231128015605762
Ayush Khandelwal,@ayushk_RMcf,2021-04-11T08:10:24.000Z,"D-Mart lal kothi, Jaipur flouting all covid norms every day. Fun fact: opposite building is police headquarters rajasthan. 
Also people of Jaipur are equally responsible for this mess. 
Zoom the photos if required
@1stIndiaNews
 @ndtv
 @jaipur_police
 @RajCMO",,,1,,,"['https://pbs.twimg.com/media/EyrbZExXAAEGDO_?format=jpg&name=small', 'https://pbs.twimg.com/media/EyrbekUWgAA5U1m?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EyrbisyWgAEF11d?format=jpg&name=small']",https://twitter.com/ayushk_RMcf/status/1381157673350074369
Anchor Jayesh Sahu,@JayeshSahu2203,2021-04-12T09:28:25.000Z,"yaha dekho Jaruri saman bechne k naam pe Reliance Mart & D-mart jese store chalu rakhne ka permission de diya gya he..ye dekho aaj subh ka halaat..Welcome to  #Palghar..koi kuch nai karega muje pata he..fir b badde log ye sb dekh k ankh bnd karlo 
@collectorpal","0:14
5 views",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1381539650938937348/pu/img/SGpA5IMmlkWAUWSO.jpg'],https://twitter.com/JayeshSahu2203/status/1381539693368549376
Anchor Jayesh Sahu,@JayeshSahu2203,2021-04-12T09:28:25.000Z,"yaha dekho Jaruri saman bechne k naam pe Reliance Mart & D-mart jese store chalu rakhne ka permission de diya gya he..ye dekho aaj subh ka halaat..Welcome to  #Palghar..koi kuch nai karega muje pata he..fir b badde log ye sb dekh k ankh bnd karlo 
@collectorpal","0:13
5 views",,,,,[],https://twitter.com/JayeshSahu2203/status/1381539693368549376
Digital Estate,@DigitalEstate2,2021-04-13T03:30:07.000Z,"D-Mart's Radhakishan Damani buys a Property.

Check the Infographic to know more.

#dmart #mumbairealestate",,,,,1,['https://pbs.twimg.com/media/Ey0unOcXMAIExMB?format=jpg&name=small'],https://twitter.com/DigitalEstate2/status/1381811913844264961
Prem Doshi,@StocksResearch,2021-04-13T06:20:19.000Z,"Why did TRENT go up from 585 to 945

And why is TRENT down from 945 to 720 now.

And why is the stock still trading at valuations higher than D-Mart on Market Cap to Sales despite 24% correction?",,,9,1,34,[],https://twitter.com/StocksResearch/status/1381854746143727619
Pritish Mane #निसर्ग_प्रेमी,@ManePritish,2021-04-13T08:58:48.000Z,"एका घाणेरड्या वाहिनीवर मुलाखत देऊन माती तर खल्लीच आहे, मग आता किराणा ची काय गरज.

आंटी ला गर्दी वाला D-Mart हवा, घराशेजारी असलेला किराणा वाला नको.

#ऐसा_कैसे_चलेगा_आंटी","Quote Tweet
TV9 Marathi
@TV9Marathi
 · 13 Apr
उद्धव काका घरी किराणा पाठवणार आहेत का? डीमार्ट बंद झाल्याने तरुणीचा संताप @CMOMaharashtra | @OfficeofUT | @BJP4Maharashtra | #UddhavThackeray | #DMart | #Kalyan",😂 😂 😂 😅 😅 😅 😝 😜 😝,6,8,45,"['https://pbs.twimg.com/profile_images/1239514892513624064/w_ERWXYS_mini.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1381859724392505353/img/wD8ODqCx6Ic_H_Zt.jpg']",https://twitter.com/ManePritish/status/1381894627339341825
Bhupendra More भूपेंद्र मोरे,@bhupen_77,2021-04-13T13:29:05.000Z,"D-Mart होम डिलिव्हरी पण करते.
रिपोर्टर दिसले की काही पण बोलायचे?
हिला लाज वाटली पाहिजे असे बोलताना.
योग्य तो प्रश्र्ना मांडा काही पण बरलाईचे नही.","Quote Tweet
TV9 Marathi
@TV9Marathi
 · 13 Apr
उद्धव काका घरी किराणा पाठवणार आहेत का? डीमार्ट बंद झाल्याने तरुणीचा संताप @CMOMaharashtra | @OfficeofUT | @BJP4Maharashtra | #UddhavThackeray | #DMart | #Kalyan",,,,,"['https://pbs.twimg.com/profile_images/1239514892513624064/w_ERWXYS_mini.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1381859724392505353/img/wD8ODqCx6Ic_H_Zt.jpg']",https://twitter.com/bhupen_77/status/1381962645692018703
Bokad Bolte,@BokadBolte,2021-04-13T09:12:03.000Z,"पूर्वसूचना असताना सगळे किराणा भरून घरात बसलेत.पिंटी अजून किराणा च भरतिय... त्यात पिंटी ला किराणा D-Mart मधेच भरायचाय...पिंटी चा घरा जवळ चा दुकानातला किराणा नको... 
ऐसा कैसा चलेगा... दीदी...अरे ओ दीदी... !!","Quote Tweet
TV9 Marathi
@TV9Marathi
 · 13 Apr
उद्धव काका घरी किराणा पाठवणार आहेत का? डीमार्ट बंद झाल्याने तरुणीचा संताप @CMOMaharashtra | @OfficeofUT | @BJP4Maharashtra | #UddhavThackeray | #DMart | #Kalyan",😆 😆,4,1,28,"['https://pbs.twimg.com/profile_images/1239514892513624064/w_ERWXYS_mini.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1381859724392505353/img/wD8ODqCx6Ic_H_Zt.jpg']",https://twitter.com/BokadBolte/status/1381897964444995593
